Date,AGIX,AMT,BRK-B,CAT,COST,GE,GLD,JNJ,MSFT,MU,NEE,NVDA,PLD,SPY,UNH,V,VTRS,XLP,XOM
2022-09-21,,204.49986267089844,270.739990234375,161.3018798828125,471.054931640625,39.821449279785156,155.7899932861328,146.4644317626953,231.68280029296875,49.13776779174805,75.49268341064453,13.228214263916016,96.58575439453125,359.2048034667969,476.8284606933594,181.68060302734375,7.670860767364502,63.92136001586914,80.29646301269531
2022-09-22,,203.30332946777344,268.510009765625,159.9885711669922,465.41839599609375,39.906925201416016,155.6999969482422,149.0657501220703,233.6510467529297,48.70622634887695,75.1061019897461,12.529947280883789,96.57685852050781,356.1875,481.8380432128906,180.4856719970703,7.5860066413879395,63.83091354370117,79.9609603881836
2022-09-23,,199.83604431152344,267.7699890136719,154.06935119628906,445.57574462890625,39.4123649597168,153.00999450683594,149.55014038085938,230.68411254882812,49.13776779174805,74.18905639648438,12.485057830810547,96.6302490234375,350.2196044921875,478.2530822753906,178.70794677734375,7.373870372772217,62.74566650390625,75.70558166503906
2022-09-26,,193.33819580078125,264.32000732421875,152.54966735839844,458.85516357421875,39.33900833129883,151.22999572753906,148.6351776123047,230.2283935546875,47.941200256347656,72.9573974609375,12.197769165039062,92.67961120605469,346.755126953125,473.364501953125,175.4341583251953,7.238101959228516,62.79086685180664,74.14290618896484
2022-09-27,,192.6656951904297,265.4700012207031,152.3808135986328,456.94439697265625,39.4123649597168,151.5399932861328,147.95346069335938,229.22000122070312,49.60855484008789,72.89443969726562,12.382311820983887,91.00682830810547,345.8699035644531,473.3737487792969,172.79185485839844,7.195675849914551,61.70562744140625,75.69674682617188
2022-09-28,,193.06744384765625,271.7799987792969,157.37135314941406,466.48846435546875,39.406253814697266,154.69000244140625,149.2272491455078,233.73834228515625,50.020484924316406,74.0542221069336,12.704513549804688,92.47496795654297,352.6753234863281,478.5603942871094,174.06443786621094,7.40781307220459,62.44721603393555,78.45126342773438
2022-09-29,,186.6568603515625,269.5799865722656,155.62652587890625,457.5941162109375,38.34865188598633,154.66000366210938,147.58567810058594,230.27684020996094,49.04949188232422,71.89649200439453,12.189788818359375,90.03697967529297,345.3082580566406,473.8021240234375,174.9193572998047,7.297502040863037,61.416229248046875,78.29236602783203
2022-09-30,,187.51280212402344,267.0199890136719,153.9192352294922,451.18365478515625,37.84736633300781,154.6699981689453,146.53616333007812,225.81678771972656,49.13776779174805,70.49401092529297,12.108989715576172,90.40177917480469,339.9686279296875,470.2729797363281,172.57809448242188,7.229616641998291,60.34907150268555,77.08283996582031
2022-10-03,,189.67001342773438,272.79998779296875,160.62646484375,456.3998718261719,38.88050842285156,158.42999267578125,146.39263916015625,233.4183349609375,50.726654052734375,72.99334716796875,12.481066703796387,92.85757446289062,348.9442443847656,480.022216796875,176.46388244628906,7.399326324462891,61.389102935791016,81.15283966064453
2022-10-04,,192.2115020751953,280.489990234375,168.50631713867188,464.42486572265625,41.28915023803711,160.6999969482422,148.5634002685547,241.31080627441406,52.92363357543945,74.45877075195312,13.134448051452637,94.30789947509766,359.7568359375,487.1549987792969,180.34971618652344,7.815114974975586,62.32059860229492,84.11042022705078
